Order ID,Date,Category,Product,Region,Sales Rep,Units,Unit Price,Revenue,Cost,Profit,Customer
1014,2024-01-02,Food & Beverage,Premium Tea Set,East,Bob Smith,4,24.47,97.88,47.27,50.61,FitLife
1098,2024-01-15,Clothing,Denim Jeans,South,Bob Smith,15,72.66,1089.9,489.71,600.19,SportZone
1021,2024-01-17,Electronics,Laptop Pro,East,Alice Johnson,23,1317.03,30291.69,17682.37,12609.32,FitLife
1039,2024-01-21,Clothing,Hoodie,East,Bob Smith,5,52.47,262.35,116.46,145.89,SmartHome Inc
1012,2024-01-25,Food & Beverage,Protein Powder,North,Bob Smith,5,55.04,275.2,131.97,143.23,SoundWorld
1115,2024-01-26,Home & Garden,Air Purifier,West,Carol White,1,201.31,201.31,106.63,94.68,SmartHome Inc
1097,2024-01-27,Food & Beverage,Snack Box,South,Carol White,25,29.99,749.75,372.7,377.05,FitLife
1043,2024-02-05,Clothing,Winter Jacket,East,Carol White,22,87.23,1919.06,848.75,1070.31,FitLife
1089,2024-02-06,Clothing,Formal Suit,North,Bob Smith,5,312.24,1561.2,725.49,835.71,SportZone
1032,2024-02-07,Home & Garden,Robot Vacuum,North,David Lee,22,456.54,10043.88,5200.48,4843.4,FashionHub
1025,2024-02-08,Home & Garden,Robot Vacuum,West,Alice Johnson,14,435.75,6100.5,3160.4,2940.1,TechCorp
1064,2024-02-11,Home & Garden,Air Purifier,West,Alice Johnson,25,209.01,5225.25,2695.82,2529.43,FitLife
1072,2024-02-14,Home & Garden,Coffee Table,East,David Lee,9,245.55,2209.95,1119.93,1090.02,SmartHome Inc
1117,2024-02-16,Food & Beverage,Vitamin Bundle,East,Carol White,2,50.39,100.78,51.56,49.22,WearTech
1004,2024-02-19,Clothing,Running Shoes,East,Carol White,25,78.68,1967.0,849.1,1117.9,SportZone
1105,2024-02-21,Home & Garden,Smart Thermostat,West,Alice Johnson,5,250.05,1250.25,655.99,594.26,FitLife
1001,2024-02-22,Electronics,Laptop Pro,North,David Lee,24,1270.74,30497.76,17792.17,12705.59,TechCorp
1053,2024-02-24,Home & Garden,Robot Vacuum,West,Bob Smith,5,457.01,2285.05,1129.47,1155.58,SoundWorld
1024,2024-02-25,Electronics,Laptop Pro,South,Bob Smith,13,1329.66,17285.58,10683.1,6602.48,SmartHome Inc
1067,2024-02-28,Food & Beverage,Premium Tea Set,South,Carol White,6,25.25,151.5,79.26,72.24,FashionHub
1099,2024-02-28,Electronics,Gaming Console,West,Alice Johnson,14,479.65,6715.1,4227.39,2487.71,SoundWorld
1030,2024-03-02,Electronics,Gaming Console,South,Alice Johnson,3,508.75,1526.25,891.5,634.75,FashionHub
1069,2024-03-02,Electronics,"Smart TV 55""",North,Carol White,25,784.12,19603.0,11978.52,7624.48,FitLife
1047,2024-03-04,Electronics,"Smart TV 55""",East,Carol White,11,809.84,8908.24,5432.27,3475.97,WearTech
1101,2024-03-10,Clothing,Hoodie,North,Carol White,7,57.31,401.17,180.68,220.49,WearTech
1083,2024-03-18,Home & Garden,Standing Desk,South,Carol White,3,503.84,1511.52,800.65,710.87,FashionHub
1035,2024-03-20,Clothing,Denim Jeans,East,Carol White,4,72.72,290.88,134.07,156.81,SmartHome Inc
1106,2024-03-20,Home & Garden,Smart Thermostat,North,David Lee,24,241.09,5786.16,3120.41,2665.75,SportZone
1029,2024-03-21,Electronics,Gaming Console,North,Alice Johnson,16,500.13,8002.08,4970.6,3031.48,SoundWorld
1003,2024-03-22,Home & Garden,Coffee Table,West,Carol White,9,257.73,2319.57,1146.65,1172.92,SportZone
1094,2024-03-23,Home & Garden,Air Purifier,East,David Lee,14,196.66,2753.24,1456.04,1297.2,CleanHome
1008,2024-03-24,Electronics,Gaming Console,West,David Lee,21,483.55,10154.55,6232.33,3922.22,SportZone
1109,2024-03-26,Electronics,Bluetooth Speaker,East,Alice Johnson,21,102.03,2142.63,1234.22,908.41,TechCorp
1050,2024-03-27,Home & Garden,Robot Vacuum,North,Carol White,17,448.78,7629.26,4126.37,3502.89,FitLife
1051,2024-04-11,Food & Beverage,Organic Coffee Set,South,Alice Johnson,25,34.06,851.5,417.68,433.82,TechCorp
1031,2024-04-14,Home & Garden,Coffee Table,East,Bob Smith,19,250.56,4760.64,2583.15,2177.49,SportZone
1063,2024-04-18,Clothing,Hoodie,West,Carol White,6,52.52,315.12,140.09,175.03,CafeWorld
1009,2024-04-27,Clothing,Formal Suit,North,Carol White,11,310.28,3413.08,1578.28,1834.8,WearTech
1087,2024-04-28,Home & Garden,Standing Desk,East,Carol White,23,504.68,11607.64,5909.98,5697.66,CleanHome
1075,2024-05-03,Clothing,Winter Jacket,West,David Lee,8,91.97,735.76,330.71,405.05,CleanHome
1111,2024-05-03,Clothing,Winter Jacket,West,Bob Smith,20,93.33,1866.6,850.03,1016.57,SmartHome Inc
1110,2024-05-05,Food & Beverage,Organic Coffee Set,West,Bob Smith,10,34.49,344.9,171.25,173.65,SoundWorld
1082,2024-05-09,Home & Garden,Standing Desk,West,Alice Johnson,15,492.03,7380.45,4016.48,3363.97,FashionHub
1044,2024-05-13,Home & Garden,Coffee Table,South,Carol White,11,260.97,2870.67,1435.33,1435.34,TechCorp
1120,2024-05-15,Home & Garden,Coffee Table,North,David Lee,12,239.75,2877.0,1480.27,1396.73,CafeWorld
1108,2024-05-27,Electronics,Gaming Console,South,Alice Johnson,3,486.73,1460.19,892.27,567.92,WearTech
1006,2024-05-28,Clothing,Formal Suit,North,Bob Smith,3,286.37,859.11,376.08,483.03,FashionHub
1102,2024-06-01,Food & Beverage,Snack Box,West,Bob Smith,9,30.95,278.55,136.25,142.3,CleanHome
1076,2024-06-05,Electronics,Laptop Pro,East,David Lee,10,1263.8,12638.0,7728.23,4909.77,FitLife
1010,2024-06-10,Food & Beverage,Organic Coffee Set,South,David Lee,7,36.44,255.08,128.4,126.68,WearTech
1095,2024-06-10,Food & Beverage,Vitamin Bundle,East,Carol White,25,50.24,1256.0,625.16,630.84,FashionHub
1057,2024-06-12,Home & Garden,Smart Thermostat,North,Bob Smith,23,244.63,5626.49,2858.98,2767.51,SoundWorld
1107,2024-06-17,Food & Beverage,Snack Box,West,Carol White,23,29.68,682.64,327.0,355.64,CleanHome
1020,2024-06-22,Home & Garden,Coffee Table,North,Bob Smith,15,240.52,3607.8,1824.41,1783.39,SmartHome Inc
1033,2024-06-27,Electronics,Gaming Console,North,Bob Smith,7,500.28,3501.96,2023.95,1478.01,CafeWorld
1114,2024-07-02,Clothing,Hoodie,East,Carol White,16,52.83,845.28,375.86,469.42,TechCorp
1118,2024-07-06,Clothing,Running Shoes,East,Bob Smith,5,82.28,411.4,192.1,219.3,SportZone
1007,2024-07-08,Home & Garden,Air Purifier,East,Bob Smith,15,202.7,3040.5,1559.69,1480.81,SportZone
1005,2024-07-12,Electronics,"Smart TV 55""",North,Carol White,15,802.89,12043.35,7567.88,4475.47,CafeWorld
1068,2024-07-22,Electronics,Tablet X1,South,Alice Johnson,19,610.63,11601.97,7280.12,4321.85,SmartHome Inc
1090,2024-07-25,Food & Beverage,Vitamin Bundle,East,David Lee,4,49.83,199.32,97.71,101.61,CleanHome
1041,2024-07-29,Clothing,Hoodie,South,Carol White,1,53.23,53.23,24.97,28.26,SoundWorld
1096,2024-07-30,Home & Garden,Coffee Table,North,Bob Smith,1,253.93,253.93,132.61,121.32,FitLife
1052,2024-07-31,Clothing,Hoodie,South,David Lee,20,56.91,1138.2,490.31,647.89,CleanHome
1058,2024-07-31,Clothing,Hoodie,West,Carol White,23,53.08,1220.84,533.66,687.18,FitLife
1060,2024-08-02,Electronics,Tablet X1,South,David Lee,10,615.2,6152.0,3821.66,2330.34,SmartHome Inc
1048,2024-08-03,Food & Beverage,Vitamin Bundle,West,Bob Smith,23,48.97,1126.31,542.17,584.14,SportZone
1070,2024-08-03,Home & Garden,Air Purifier,West,Alice Johnson,3,200.11,600.33,307.22,293.11,WearTech
1023,2024-08-04,Home & Garden,Robot Vacuum,West,David Lee,4,431.85,1727.4,892.05,835.35,TechCorp
1055,2024-08-06,Food & Beverage,Vitamin Bundle,West,Bob Smith,20,51.56,1031.2,535.81,495.39,CleanHome
1045,2024-08-11,Electronics,Gaming Console,North,David Lee,14,492.27,6891.78,4253.51,2638.27,SmartHome Inc
1027,2024-08-20,Electronics,Smart Watch,East,David Lee,13,285.06,3705.78,2199.1,1506.68,FitLife
1077,2024-08-20,Food & Beverage,Vitamin Bundle,East,Carol White,24,50.24,1205.76,593.95,611.81,SportZone
1054,2024-08-21,Home & Garden,Smart Thermostat,South,David Lee,18,243.72,4386.96,2360.68,2026.28,FitLife
1103,2024-08-21,Home & Garden,Air Purifier,East,Bob Smith,11,201.03,2211.33,1154.89,1056.44,SmartHome Inc
1042,2024-08-23,Electronics,Wireless Headphones,East,Carol White,2,155.37,310.74,181.27,129.47,SmartHome Inc
1112,2024-08-26,Home & Garden,Air Purifier,East,Bob Smith,15,195.1,2926.5,1447.12,1479.38,FashionHub
1013,2024-08-27,Home & Garden,Coffee Table,East,Alice Johnson,3,247.11,741.33,389.19,352.14,FashionHub
1119,2024-08-27,Home & Garden,Air Purifier,North,Bob Smith,24,207.4,4977.6,2667.1,2310.5,SmartHome Inc
1104,2024-08-30,Home & Garden,Robot Vacuum,West,David Lee,25,445.97,11149.25,5692.2,5457.05,SoundWorld
1018,2024-08-31,Electronics,Bluetooth Speaker,South,Carol White,18,102.65,1847.7,1067.42,780.28,FitLife
1100,2024-09-04,Home & Garden,Air Purifier,West,Bob Smith,17,204.1,3469.7,1789.0,1680.7,CleanHome
1026,2024-09-05,Electronics,Laptop Pro,West,Bob Smith,25,1345.32,33633.0,19506.42,14126.58,WearTech
1036,2024-09-07,Food & Beverage,Protein Powder,East,Alice Johnson,22,55.73,1226.06,598.56,627.5,FashionHub
1081,2024-09-08,Electronics,Gaming Console,North,Alice Johnson,10,509.86,5098.6,2944.83,2153.77,SportZone
1073,2024-09-10,Home & Garden,Coffee Table,East,Bob Smith,20,254.19,5083.8,2600.33,2483.47,CleanHome
1056,2024-09-23,Home & Garden,Air Purifier,West,Bob Smith,25,194.94,4873.5,2569.11,2304.39,SportZone
1071,2024-09-24,Food & Beverage,Vitamin Bundle,East,David Lee,23,48.26,1109.98,537.02,572.96,CleanHome
1080,2024-09-30,Food & Beverage,Protein Powder,South,Carol White,12,53.23,638.76,303.86,334.9,TechCorp
1078,2024-10-01,Clothing,Winter Jacket,South,Bob Smith,24,87.22,2093.28,906.14,1187.14,SmartHome Inc
1011,2024-10-02,Home & Garden,Robot Vacuum,East,David Lee,9,433.77,3903.93,2079.78,1824.15,WearTech
1046,2024-10-02,Food & Beverage,Organic Coffee Set,South,Carol White,23,34.77,799.71,400.65,399.06,WearTech
1086,2024-10-09,Clothing,Denim Jeans,North,Bob Smith,22,67.06,1475.32,646.62,828.7,TechCorp
1002,2024-10-14,Electronics,Laptop Pro,South,David Lee,7,1265.24,8856.68,5368.22,3488.46,SmartHome Inc
1062,2024-10-15,Clothing,Yoga Pants,North,Alice Johnson,18,47.63,857.34,381.71,475.63,WearTech
1017,2024-10-17,Electronics,Tablet X1,North,Alice Johnson,10,584.36,5843.6,3415.31,2428.29,CleanHome
1022,2024-10-19,Clothing,Denim Jeans,West,Bob Smith,22,69.89,1537.58,694.63,842.95,CleanHome
1028,2024-10-23,Home & Garden,Robot Vacuum,North,Carol White,7,440.84,3085.88,1679.87,1406.01,TechCorp
1049,2024-10-23,Home & Garden,Coffee Table,East,David Lee,1,245.09,245.09,123.75,121.34,CleanHome
1059,2024-10-26,Home & Garden,Standing Desk,North,David Lee,2,485.33,970.66,500.71,469.95,CleanHome
1093,2024-10-26,Home & Garden,Coffee Table,West,David Lee,21,248.55,5219.55,2653.95,2565.6,FashionHub
1079,2024-11-01,Home & Garden,Air Purifier,East,Alice Johnson,24,201.78,4842.72,2583.74,2258.98,SmartHome Inc
1016,2024-11-02,Clothing,Yoga Pants,East,David Lee,25,52.1,1302.5,610.65,691.85,TechCorp
1091,2024-11-05,Electronics,Gaming Console,East,Alice Johnson,2,519.46,1038.92,637.97,400.95,FashionHub
1015,2024-11-07,Electronics,Bluetooth Speaker,South,Bob Smith,21,97.97,2057.37,1251.57,805.8,CafeWorld
1034,2024-11-09,Food & Beverage,Protein Powder,North,Carol White,15,56.83,852.45,434.9,417.55,FashionHub
1084,2024-11-12,Clothing,Winter Jacket,South,David Lee,18,92.37,1662.66,756.15,906.51,CleanHome
1040,2024-11-13,Electronics,Tablet X1,South,Bob Smith,25,603.58,15089.5,9392.95,5696.55,SoundWorld
1085,2024-11-13,Home & Garden,Air Purifier,North,Alice Johnson,19,209.79,3986.01,2032.39,1953.62,SmartHome Inc
1088,2024-11-16,Electronics,"Smart TV 55""",South,David Lee,8,833.9,6671.2,4117.93,2553.27,FashionHub
1037,2024-11-22,Home & Garden,Air Purifier,East,Bob Smith,2,190.06,380.12,203.02,177.1,CleanHome
1065,2024-11-29,Electronics,Tablet X1,North,Alice Johnson,8,609.0,4872.0,3005.41,1866.59,SmartHome Inc
1116,2024-12-03,Food & Beverage,Protein Powder,South,Alice Johnson,21,53.29,1119.09,545.59,573.5,TechCorp
1066,2024-12-08,Clothing,Winter Jacket,North,Bob Smith,20,86.86,1737.2,752.52,984.68,CleanHome
1092,2024-12-10,Clothing,Formal Suit,East,Alice Johnson,19,302.6,5749.4,2463.24,3286.16,SoundWorld
1061,2024-12-13,Food & Beverage,Vitamin Bundle,West,Bob Smith,16,47.64,762.24,374.87,387.37,CleanHome
1038,2024-12-19,Home & Garden,Coffee Table,South,Alice Johnson,1,240.29,240.29,130.51,109.78,CafeWorld
1113,2024-12-19,Home & Garden,Air Purifier,East,David Lee,19,195.97,3723.43,2025.64,1697.79,SportZone
1074,2024-12-25,Clothing,Denim Jeans,East,Alice Johnson,9,68.87,619.83,289.53,330.3,FitLife
1019,2024-12-31,Home & Garden,Robot Vacuum,East,David Lee,18,461.48,8306.64,4401.47,3905.17,CafeWorld
